vegas: 47.5, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 51.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 53.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 54.5, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 53.5, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 48.0, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 50.5, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 49.0, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 49.0, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 50.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 54.5, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 53.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 50.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 54.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 52.5, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 46.5, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 51.5, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 51.5, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 50.5, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 48.5, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 55.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 50.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 48.5, predictive mean 49.63221266068559, under percentage: 0.0, over percentage: 1.0
vegas: 52.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 52.5, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 49.5, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 48.0, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 53.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 52.5, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 49.5, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 48.5, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 54.5, predictive mean 49.63221266068559, under percentage: 1.0, over percentage: 0.0
vegas: 51.5, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 47.5, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 49.0, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 47.5, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 49.5, predictive mean 49.63221266068558, under percentage: 0.037227214377406934, over percentage: 0.962772785622593
vegas: 50.5, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 48.5, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 52.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 49.5, predictive mean 49.63221266068558, under percentage: 0.15532734274711169, over percentage: 0.8446726572528883
vegas: 50.0, predictive mean 49.63221266068558, under percentage: 0.9974326059050064, over percentage: 0.0025673940949935813
vegas: 48.5, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 53.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 50.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 49.5, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 56.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 48.5, predictive mean 49.63221266068559, under percentage: 0.0, over percentage: 1.0
vegas: 53.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 50.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 46.0, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 47.5, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 56.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 52.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 50.0, predictive mean 49.63221266068559, under percentage: 1.0, over percentage: 0.0
vegas: 53.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 51.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 49.0, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 52.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 52.5, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 53.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 50.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 54.5, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 54.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 48.5, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 50.5, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 48.5, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 46.5, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 49.0, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 50.5, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 55.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 46.5, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 47.5, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 51.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 53.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 50.0, predictive mean 49.63221266068558, under percentage: 0.9987163029525032, over percentage: 0.0012836970474967907
vegas: 50.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 49.5, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 48.5, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 48.5, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 49.5, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 48.0, predictive mean 49.63221266068559, under percentage: 0.0, over percentage: 1.0
vegas: 49.0, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 49.5, predictive mean 49.63221266068558, under percentage: 0.0, over percentage: 1.0
vegas: 50.5, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 54.5, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 53.0, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
vegas: 51.5, predictive mean 49.63221266068558, under percentage: 1.0, over percentage: 0.0
