vegas: 45.5, predictive mean 50.6623441593953, under percentage: 0.0025940337224383916, over percentage: 0.9974059662775616
vegas: 50.5, predictive mean 50.61333923182607, under percentage: 0.45136186770428016, over percentage: 0.5486381322957199
vegas: 48.0, predictive mean 50.56585286460666, under percentage: 0.07652399481193256, over percentage: 0.9234760051880675
vegas: 50.5, predictive mean 50.57822119036517, under percentage: 0.5201037613488976, over percentage: 0.4798962386511025
vegas: 49.5, predictive mean 50.58203781683914, under percentage: 0.27496757457846954, over percentage: 0.7250324254215305
vegas: 50.5, predictive mean 50.5706520459822, under percentage: 0.42282749675745784, over percentage: 0.5771725032425421
vegas: 49.0, predictive mean 50.57391580525863, under percentage: 0.16472114137483787, over percentage: 0.8352788586251622
vegas: 58.5, predictive mean 50.55541365021636, under percentage: 0.9987029831387808, over percentage: 0.0012970168612191958
vegas: 51.0, predictive mean 50.52625497543866, under percentage: 0.5849546044098574, over percentage: 0.4150453955901427
vegas: 47.5, predictive mean 50.60791247150843, under percentage: 0.027237354085603113, over percentage: 0.9727626459143969
vegas: 48.0, predictive mean 50.61309005911916, under percentage: 0.07911802853437094, over percentage: 0.920881971465629
vegas: 54.0, predictive mean 50.56724926996562, under percentage: 0.9857328145265889, over percentage: 0.014267185473411154
vegas: 49.5, predictive mean 50.55278393991653, under percentage: 0.22568093385214008, over percentage: 0.77431906614786
vegas: 49.0, predictive mean 50.49826854666275, under percentage: 0.16472114137483787, over percentage: 0.8352788586251622
vegas: 52.5, predictive mean 50.63968598730096, under percentage: 0.8819714656290532, over percentage: 0.11802853437094682
vegas: 49.0, predictive mean 50.65721748545977, under percentage: 0.1556420233463035, over percentage: 0.8443579766536965
vegas: 55.0, predictive mean 50.58821216651329, under percentage: 0.9922178988326849, over percentage: 0.007782101167315175
vegas: 50.5, predictive mean 50.5459439455529, under percentage: 0.4487678339818418, over percentage: 0.5512321660181583
vegas: 51.5, predictive mean 50.61889130887833, under percentage: 0.7133592736705577, over percentage: 0.28664072632944226
vegas: 50.0, predictive mean 50.58777391148025, under percentage: 0.29701686121919585, over percentage: 0.7029831387808041
vegas: 51.0, predictive mean 50.59861867731816, under percentage: 0.6303501945525292, over percentage: 0.36964980544747084
vegas: 50.0, predictive mean 50.68088615235392, under percentage: 0.35149156939040205, over percentage: 0.648508430609598
vegas: 55.0, predictive mean 50.5807976841624, under percentage: 0.9896238651102465, over percentage: 0.010376134889753566
vegas: 54.0, predictive mean 50.586668551867504, under percentage: 0.9883268482490273, over percentage: 0.011673151750972763
vegas: 51.0, predictive mean 50.60802118508994, under percentage: 0.5538261997405967, over percentage: 0.4461738002594034
vegas: 49.0, predictive mean 50.48942122827706, under percentage: 0.17380025940337224, over percentage: 0.8261997405966277
vegas: 54.5, predictive mean 50.65900383998403, under percentage: 0.9792477302204928, over percentage: 0.020752269779507133
vegas: 48.0, predictive mean 50.51371462149531, under percentage: 0.0622568093385214, over percentage: 0.9377431906614786
vegas: 49.5, predictive mean 50.51761668352641, under percentage: 0.2438391699092088, over percentage: 0.7561608300907912
vegas: 46.5, predictive mean 50.60643680679934, under percentage: 0.009079118028534372, over percentage: 0.9909208819714657
vegas: 55.5, predictive mean 50.55342975817887, under percentage: 0.9987029831387808, over percentage: 0.0012970168612191958
vegas: 49.0, predictive mean 50.586278891446064, under percentage: 0.1569390402075227, over percentage: 0.8430609597924773
vegas: 51.0, predictive mean 50.57608658061113, under percentage: 0.6342412451361867, over percentage: 0.3657587548638132
vegas: 0, predictive mean 50.69271662059997, under percentage: 0.0, over percentage: 1.0
vegas: 51.5, predictive mean 50.55590749177082, under percentage: 0.7185473411154345, over percentage: 0.2814526588845655
vegas: 49.5, predictive mean 50.599711589150296, under percentage: 0.23735408560311283, over percentage: 0.7626459143968871
vegas: 51.5, predictive mean 50.679342111016275, under percentage: 0.6757457846952011, over percentage: 0.324254215304799
vegas: 48.5, predictive mean 50.503232586785806, under percentage: 0.11154345006485085, over percentage: 0.8884565499351491
vegas: 56.0, predictive mean 50.574721780713595, under percentage: 1.0, over percentage: 0.0
vegas: 51.0, predictive mean 50.62374030250648, under percentage: 0.6160830090791181, over percentage: 0.383916990920882
vegas: 49.0, predictive mean 50.60906602840384, under percentage: 0.13618677042801555, over percentage: 0.8638132295719845
vegas: 49.0, predictive mean 50.580008128040916, under percentage: 0.1815823605706874, over percentage: 0.8184176394293126
vegas: 53.0, predictive mean 50.630979672447396, under percentage: 0.920881971465629, over percentage: 0.07911802853437094
vegas: 51.0, predictive mean 50.56987185934872, under percentage: 0.6108949416342413, over percentage: 0.38910505836575876
vegas: 46.5, predictive mean 50.56366514843019, under percentage: 0.014267185473411154, over percentage: 0.9857328145265889
vegas: 54.0, predictive mean 50.54696301991883, under percentage: 0.9779507133592736, over percentage: 0.02204928664072633
vegas: 49.5, predictive mean 50.6178869968264, under percentage: 0.27496757457846954, over percentage: 0.7250324254215305
vegas: 51.5, predictive mean 50.54779933563633, under percentage: 0.754863813229572, over percentage: 0.245136186770428
vegas: 50.0, predictive mean 50.54872656599264, under percentage: 0.30739299610894943, over percentage: 0.6926070038910506
vegas: 48.0, predictive mean 50.58465474885951, under percentage: 0.08300907911802853, over percentage: 0.9169909208819714
vegas: 52.5, predictive mean 50.51646380714212, under percentage: 0.9299610894941635, over percentage: 0.07003891050583658
vegas: 51.5, predictive mean 50.66310509104852, under percentage: 0.6809338521400778, over percentage: 0.31906614785992216
vegas: 52.0, predictive mean 50.63739494966132, under percentage: 0.8028534370946823, over percentage: 0.19714656290531776
vegas: 49.0, predictive mean 50.675720704421, under percentage: 0.14785992217898833, over percentage: 0.8521400778210116
vegas: 54.5, predictive mean 50.60093707117982, under percentage: 0.9831387808041504, over percentage: 0.016861219195849545
vegas: 51.5, predictive mean 50.58730561735151, under percentage: 0.7159533073929961, over percentage: 0.2840466926070039
vegas: 51.0, predictive mean 50.49015772030794, under percentage: 0.5914396887159533, over percentage: 0.4085603112840467
vegas: 50.5, predictive mean 50.5815436893743, under percentage: 0.4876783398184176, over percentage: 0.5123216601815823
vegas: 54.0, predictive mean 50.50318432850486, under percentage: 0.9740596627756161, over percentage: 0.02594033722438392
vegas: 55.0, predictive mean 50.62815834001991, under percentage: 0.993514915693904, over percentage: 0.00648508430609598
vegas: 49.5, predictive mean 50.48886016823647, under percentage: 0.2529182879377432, over percentage: 0.7470817120622568
vegas: 49.5, predictive mean 50.52779233467451, under percentage: 0.191958495460441, over percentage: 0.808041504539559
vegas: 49.5, predictive mean 50.60850816125517, under percentage: 0.2204928664072633, over percentage: 0.7795071335927367
vegas: 48.0, predictive mean 50.57415256692334, under percentage: 0.07133592736705577, over percentage: 0.9286640726329443
vegas: 52.0, predictive mean 50.550415073101824, under percentage: 0.8171206225680934, over percentage: 0.1828793774319066
vegas: 52.0, predictive mean 50.53381087264482, under percentage: 0.7898832684824902, over percentage: 0.21011673151750973
vegas: 50.0, predictive mean 50.61377718330039, under percentage: 0.3450064850843061, over percentage: 0.6549935149156939
vegas: 51.5, predictive mean 50.56134457945129, under percentage: 0.7354085603112841, over percentage: 0.26459143968871596
vegas: 50.5, predictive mean 50.59521280623829, under percentage: 0.5006485084306096, over percentage: 0.4993514915693904
vegas: 48.0, predictive mean 50.602714872709726, under percentage: 0.05966277561608301, over percentage: 0.940337224383917
vegas: 52.0, predictive mean 50.622953523733386, under percentage: 0.7833981841763943, over percentage: 0.21660181582360571
vegas: 48.5, predictive mean 50.60046572021795, under percentage: 0.09857328145265888, over percentage: 0.9014267185473411
vegas: 53.0, predictive mean 50.57940437515981, under percentage: 0.9416342412451362, over percentage: 0.058365758754863814
vegas: 52.0, predictive mean 50.599947271257946, under percentage: 0.8041504539559015, over percentage: 0.19584954604409857
vegas: 50.0, predictive mean 50.51023775149431, under percentage: 0.32814526588845655, over percentage: 0.6718547341115434
vegas: 53.0, predictive mean 50.570682044000776, under percentage: 0.940337224383917, over percentage: 0.05966277561608301
vegas: 50.5, predictive mean 50.68663686291029, under percentage: 0.4876783398184176, over percentage: 0.5123216601815823
vegas: 52.5, predictive mean 50.60971463217318, under percentage: 0.8871595330739299, over percentage: 0.11284046692607004
vegas: 55.5, predictive mean 50.60299444894116, under percentage: 0.9961089494163424, over percentage: 0.0038910505836575876
vegas: 50.5, predictive mean 50.6879055234456, under percentage: 0.4474708171206226, over percentage: 0.5525291828793775
vegas: 54.5, predictive mean 50.56584011169569, under percentage: 0.9870298313878081, over percentage: 0.01297016861219196
vegas: 53.5, predictive mean 50.66581586408513, under percentage: 0.9092088197146563, over percentage: 0.0907911802853437
vegas: 55.0, predictive mean 50.570258286242904, under percentage: 0.9922178988326849, over percentage: 0.007782101167315175
vegas: 53.0, predictive mean 50.561786782004724, under percentage: 0.914396887159533, over percentage: 0.08560311284046693
vegas: 51.0, predictive mean 50.55598934223298, under percentage: 0.5953307392996109, over percentage: 0.4046692607003891
vegas: 51.5, predictive mean 50.59137422350516, under percentage: 0.6913099870298314, over percentage: 0.3086900129701686
vegas: 51.0, predictive mean 50.588532801562906, under percentage: 0.62905317769131, over percentage: 0.37094682230869
vegas: 52.0, predictive mean 50.65741562854985, under percentage: 0.8184176394293126, over percentage: 0.1815823605706874
vegas: 50.0, predictive mean 50.66750881548314, under percentage: 0.3424124513618677, over percentage: 0.6575875486381323
vegas: 51.5, predictive mean 50.48767637783076, under percentage: 0.7639429312581063, over percentage: 0.23605706874189364
vegas: 51.5, predictive mean 50.60335354231228, under percentage: 0.7198443579766537, over percentage: 0.2801556420233463
vegas: 51.0, predictive mean 50.57690468037975, under percentage: 0.5966277561608301, over percentage: 0.4033722438391699
vegas: 51.5, predictive mean 50.61789292299187, under percentage: 0.6731517509727627, over percentage: 0.32684824902723736
vegas: 49.5, predictive mean 50.581547744911596, under percentage: 0.2905317769130999, over percentage: 0.7094682230869002
vegas: 49.5, predictive mean 50.59968861068391, under percentage: 0.22827496757457846, over percentage: 0.7717250324254216
vegas: 53.0, predictive mean 50.58371219470827, under percentage: 0.9481193255512321, over percentage: 0.05188067444876784
vegas: 50.0, predictive mean 50.54427771764614, under percentage: 0.34889753566796367, over percentage: 0.6511024643320363
vegas: 50.5, predictive mean 50.54717613689988, under percentage: 0.5019455252918288, over percentage: 0.4980544747081712
vegas: 51.5, predictive mean 50.54920149799121, under percentage: 0.7587548638132295, over percentage: 0.24124513618677043
vegas: 54.0, predictive mean 50.600510519116774, under percentage: 0.980544747081712, over percentage: 0.019455252918287938
vegas: 48.5, predictive mean 50.490531160310766, under percentage: 0.09987029831387809, over percentage: 0.9001297016861219
vegas: 51.0, predictive mean 50.48296893755572, under percentage: 0.62905317769131, over percentage: 0.37094682230869
vegas: 52.0, predictive mean 50.614931515477934, under percentage: 0.8832684824902723, over percentage: 0.11673151750972763
vegas: 53.0, predictive mean 50.5704978982032, under percentage: 0.9559014267185474, over percentage: 0.04409857328145266
vegas: 53.0, predictive mean 50.59583392353524, under percentage: 0.8884565499351491, over percentage: 0.11154345006485085
vegas: 52.0, predictive mean 50.53604065166591, under percentage: 0.8456549935149157, over percentage: 0.1543450064850843
vegas: 50.5, predictive mean 50.60380686502595, under percentage: 0.4357976653696498, over percentage: 0.5642023346303502
vegas: 50.0, predictive mean 50.4962173975147, under percentage: 0.3553826199740597, over percentage: 0.6446173800259404
vegas: 52.0, predictive mean 50.644418125938934, under percentage: 0.7535667963683528, over percentage: 0.24643320363164722
vegas: 47.5, predictive mean 50.620181589083174, under percentage: 0.03761348897535668, over percentage: 0.9623865110246433
vegas: 54.5, predictive mean 50.53088337787837, under percentage: 0.9909208819714657, over percentage: 0.009079118028534372
vegas: 51.5, predictive mean 50.682208634157554, under percentage: 0.6744487678339819, over percentage: 0.32555123216601817
vegas: 53.0, predictive mean 50.578883786370625, under percentage: 0.9247730220492867, over percentage: 0.07522697795071336
vegas: 55.5, predictive mean 50.55499010985897, under percentage: 0.9922178988326849, over percentage: 0.007782101167315175
vegas: 48.0, predictive mean 50.56206248702227, under percentage: 0.07003891050583658, over percentage: 0.9299610894941635
vegas: 48.0, predictive mean 50.65721432229831, under percentage: 0.05058365758754864, over percentage: 0.9494163424124513
vegas: 49.0, predictive mean 50.60568233756059, under percentage: 0.14915693904020752, over percentage: 0.8508430609597925
vegas: 51.0, predictive mean 50.594876934926134, under percentage: 0.5953307392996109, over percentage: 0.4046692607003891
vegas: 55.5, predictive mean 50.63047327424346, under percentage: 0.9909208819714657, over percentage: 0.009079118028534372
vegas: 51.0, predictive mean 50.47608686622968, under percentage: 0.582360570687419, over percentage: 0.4176394293125811
vegas: 50.5, predictive mean 50.544635315188316, under percentage: 0.45525291828793774, over percentage: 0.5447470817120622
vegas: 51.5, predictive mean 50.55686086358765, under percentage: 0.6990920881971465, over percentage: 0.3009079118028534
vegas: 52.0, predictive mean 50.60068228177894, under percentage: 0.8508430609597925, over percentage: 0.14915693904020752
vegas: 48.5, predictive mean 50.575233531287154, under percentage: 0.11024643320363164, over percentage: 0.8897535667963683
