vegas: 50.5, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 54.5, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 47.0, predictive mean 49.52639064424487, under percentage: 0.0, over percentage: 1.0
vegas: 51.0, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 52.0, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 51.0, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 53.5, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 51.0, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 54.0, predictive mean 49.526390644244856, under percentage: 1.0, over percentage: 0.0
vegas: 49.0, predictive mean 49.52639064424487, under percentage: 0.0, over percentage: 1.0
vegas: 46.0, predictive mean 49.52639064424487, under percentage: 0.0, over percentage: 1.0
vegas: 51.0, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 47.5, predictive mean 49.52639064424487, under percentage: 0.0, over percentage: 1.0
vegas: 52.0, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 49.0, predictive mean 49.52639064424487, under percentage: 0.0, over percentage: 1.0
vegas: 50.5, predictive mean 49.526390644244856, under percentage: 1.0, over percentage: 0.0
vegas: 56.5, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 49.5, predictive mean 49.526390644244856, under percentage: 0.015463917525773196, over percentage: 0.9845360824742269
vegas: 50.0, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 48.5, predictive mean 49.52639064424487, under percentage: 0.0, over percentage: 1.0
vegas: 50.0, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 51.5, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 48.5, predictive mean 49.52639064424487, under percentage: 0.0, over percentage: 1.0
vegas: 52.5, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 52.5, predictive mean 49.526390644244856, under percentage: 1.0, over percentage: 0.0
vegas: 48.5, predictive mean 49.52639064424487, under percentage: 0.0, over percentage: 1.0
vegas: 51.5, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 51.0, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 48.0, predictive mean 49.52639064424487, under percentage: 0.0, over percentage: 1.0
vegas: 57.5, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 52.0, predictive mean 49.526390644244856, under percentage: 1.0, over percentage: 0.0
vegas: 50.0, predictive mean 49.526390644244856, under percentage: 1.0, over percentage: 0.0
vegas: 50.5, predictive mean 49.526390644244856, under percentage: 1.0, over percentage: 0.0
vegas: 47.5, predictive mean 49.52639064424487, under percentage: 0.0, over percentage: 1.0
vegas: 51.0, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 50.5, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 51.0, predictive mean 49.526390644244856, under percentage: 1.0, over percentage: 0.0
vegas: 52.0, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 45.5, predictive mean 49.52639064424487, under percentage: 0.0, over percentage: 1.0
vegas: 49.0, predictive mean 49.52639064424487, under percentage: 0.0, over percentage: 1.0
vegas: 49.0, predictive mean 49.52639064424487, under percentage: 0.0, over percentage: 1.0
vegas: 49.0, predictive mean 49.52639064424487, under percentage: 0.0, over percentage: 1.0
vegas: 56.0, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 49.5, predictive mean 49.52639064424487, under percentage: 0.0, over percentage: 1.0
vegas: 49.0, predictive mean 49.52639064424487, under percentage: 0.0, over percentage: 1.0
vegas: 47.0, predictive mean 49.52639064424487, under percentage: 0.0, over percentage: 1.0
vegas: 50.5, predictive mean 49.526390644244856, under percentage: 1.0, over percentage: 0.0
vegas: 48.0, predictive mean 49.526390644244856, under percentage: 0.0, over percentage: 1.0
vegas: 51.0, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 49.0, predictive mean 49.52639064424487, under percentage: 0.0, over percentage: 1.0
vegas: 51.0, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 53.0, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 50.0, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 48.0, predictive mean 49.52639064424487, under percentage: 0.0, over percentage: 1.0
vegas: 54.5, predictive mean 49.52639064424487, under percentage: 1.0, over percentage: 0.0
vegas: 52.5, predictive mean 49.526390644244856, under percentage: 1.0, over percentage: 0.0
