vegas: 45.5, predictive mean 50.19267301718435, under percentage: 0.007782101167315175, over percentage: 0.9922178988326849
vegas: 50.5, predictive mean 50.1213678548729, under percentage: 0.5680933852140078, over percentage: 0.43190661478599224
vegas: 48.0, predictive mean 50.18218926938382, under percentage: 0.13488975356679636, over percentage: 0.8651102464332037
vegas: 50.5, predictive mean 50.2315918787032, under percentage: 0.562905317769131, over percentage: 0.437094682230869
vegas: 49.5, predictive mean 50.162102149307444, under percentage: 0.3527885862516213, over percentage: 0.6472114137483788
vegas: 50.5, predictive mean 50.22687773875281, under percentage: 0.6381322957198443, over percentage: 0.36186770428015563
vegas: 49.0, predictive mean 50.16697465066279, under percentage: 0.25810635538262, over percentage: 0.74189364461738
vegas: 58.5, predictive mean 50.11786397147509, under percentage: 1.0, over percentage: 0.0
vegas: 51.0, predictive mean 50.09110236109367, under percentage: 0.7431906614785992, over percentage: 0.25680933852140075
vegas: 47.5, predictive mean 50.115722003427294, under percentage: 0.06874189364461739, over percentage: 0.9312581063553826
vegas: 48.0, predictive mean 50.15460463895026, under percentage: 0.14526588845654995, over percentage: 0.85473411154345
vegas: 54.0, predictive mean 50.09906156543372, under percentage: 0.9753566796368353, over percentage: 0.02464332036316472
vegas: 49.5, predictive mean 50.1353232032428, under percentage: 0.31776913099870296, over percentage: 0.682230869001297
vegas: 49.0, predictive mean 50.033499630474275, under percentage: 0.30739299610894943, over percentage: 0.6926070038910506
vegas: 52.5, predictive mean 50.216838012574506, under percentage: 0.9053177691309987, over percentage: 0.0946822308690013
vegas: 49.0, predictive mean 50.23221263356209, under percentage: 0.27367055771725035, over percentage: 0.7263294422827496
vegas: 55.0, predictive mean 50.120845621650744, under percentage: 0.9857328145265889, over percentage: 0.014267185473411154
vegas: 50.5, predictive mean 50.28324139896146, under percentage: 0.503242542153048, over percentage: 0.496757457846952
vegas: 51.5, predictive mean 50.17081269435248, under percentage: 0.8119325551232166, over percentage: 0.1880674448767834
vegas: 50.0, predictive mean 50.15302424429902, under percentage: 0.5019455252918288, over percentage: 0.4980544747081712
vegas: 51.0, predictive mean 50.109371116835405, under percentage: 0.7107652399481194, over percentage: 0.2892347600518807
vegas: 50.0, predictive mean 50.198213135894854, under percentage: 0.4474708171206226, over percentage: 0.5525291828793775
vegas: 55.0, predictive mean 50.21148080958026, under percentage: 0.9740596627756161, over percentage: 0.02594033722438392
vegas: 54.0, predictive mean 50.14420982229066, under percentage: 0.9649805447470817, over percentage: 0.03501945525291829
vegas: 51.0, predictive mean 50.184932849313384, under percentage: 0.7276264591439688, over percentage: 0.2723735408560311
vegas: 49.0, predictive mean 50.170153020040985, under percentage: 0.21141374837872892, over percentage: 0.788586251621271
vegas: 54.5, predictive mean 50.12476405820725, under percentage: 0.9779507133592736, over percentage: 0.02204928664072633
vegas: 48.0, predictive mean 50.12939993988357, under percentage: 0.09727626459143969, over percentage: 0.9027237354085603
vegas: 49.5, predictive mean 50.15173542288468, under percentage: 0.36964980544747084, over percentage: 0.6303501945525292
vegas: 46.5, predictive mean 50.22824808722183, under percentage: 0.01556420233463035, over percentage: 0.9844357976653697
vegas: 55.5, predictive mean 50.268411568706746, under percentage: 0.9818417639429312, over percentage: 0.018158236057068743
vegas: 49.0, predictive mean 50.30498267718978, under percentage: 0.19455252918287938, over percentage: 0.8054474708171206
vegas: 51.0, predictive mean 50.19710965866875, under percentage: 0.7185473411154345, over percentage: 0.2814526588845655
vegas: 0, predictive mean 50.20185712581361, under percentage: 0.0, over percentage: 1.0
vegas: 51.5, predictive mean 50.12111550525067, under percentage: 0.7795071335927367, over percentage: 0.2204928664072633
vegas: 49.5, predictive mean 50.13239206799195, under percentage: 0.36057068741893644, over percentage: 0.6394293125810635
vegas: 51.5, predictive mean 50.30730692897116, under percentage: 0.8054474708171206, over percentage: 0.19455252918287938
vegas: 48.5, predictive mean 50.04177141743584, under percentage: 0.19844357976653695, over percentage: 0.8015564202334631
vegas: 56.0, predictive mean 50.25756131583891, under percentage: 0.9870298313878081, over percentage: 0.01297016861219196
vegas: 51.0, predictive mean 50.31502580431313, under percentage: 0.6939040207522698, over percentage: 0.30609597924773024
vegas: 49.0, predictive mean 50.26306570473481, under percentage: 0.245136186770428, over percentage: 0.754863813229572
vegas: 49.0, predictive mean 50.20949585302583, under percentage: 0.22957198443579765, over percentage: 0.7704280155642024
vegas: 53.0, predictive mean 50.127245276858645, under percentage: 0.9053177691309987, over percentage: 0.0946822308690013
vegas: 51.0, predictive mean 50.27979293666381, under percentage: 0.6977950713359273, over percentage: 0.3022049286640726
vegas: 46.5, predictive mean 50.09809883617758, under percentage: 0.023346303501945526, over percentage: 0.9766536964980544
vegas: 54.0, predictive mean 50.29544381215692, under percentage: 0.9390402075226978, over percentage: 0.0609597924773022
vegas: 49.5, predictive mean 50.08369728490307, under percentage: 0.35667963683527887, over percentage: 0.6433203631647212
vegas: 51.5, predictive mean 50.2084296391226, under percentage: 0.814526588845655, over percentage: 0.185473411154345
vegas: 50.0, predictive mean 50.10946813105077, under percentage: 0.5304798962386511, over percentage: 0.4695201037613489
vegas: 48.0, predictive mean 50.19332774399263, under percentage: 0.09727626459143969, over percentage: 0.9027237354085603
vegas: 52.5, predictive mean 50.07596585692422, under percentage: 0.914396887159533, over percentage: 0.08560311284046693
vegas: 51.5, predictive mean 50.14400175766634, under percentage: 0.8534370946822308, over percentage: 0.14656290531776914
vegas: 52.0, predictive mean 50.259194763870575, under percentage: 0.814526588845655, over percentage: 0.185473411154345
vegas: 49.0, predictive mean 50.112938649428976, under percentage: 0.2529182879377432, over percentage: 0.7470817120622568
vegas: 54.5, predictive mean 50.234482818943754, under percentage: 0.9649805447470817, over percentage: 0.03501945525291829
vegas: 51.5, predictive mean 50.13224770489845, under percentage: 0.7691309987029832, over percentage: 0.23086900129701687
vegas: 51.0, predictive mean 50.11289696325824, under percentage: 0.7302204928664072, over percentage: 0.2697795071335927
vegas: 50.5, predictive mean 50.22540383360067, under percentage: 0.62905317769131, over percentage: 0.37094682230869
vegas: 54.0, predictive mean 50.2545200054978, under percentage: 0.953307392996109, over percentage: 0.04669260700389105
