vegas: 51.0, predictive mean 51.55036047721004, under percentage: 0.36186770428015563, over percentage: 0.6381322957198443
vegas: 51.5, predictive mean 51.74529784745538, under percentage: 0.5045395590142672, over percentage: 0.49546044098573283
vegas: 51.5, predictive mean 51.73423762946197, under percentage: 0.4721141374837873, over percentage: 0.5278858625162127
vegas: 49.5, predictive mean 51.509691775664564, under percentage: 0.14915693904020752, over percentage: 0.8508430609597925
vegas: 53.0, predictive mean 51.55153335001842, under percentage: 0.7522697795071336, over percentage: 0.24773022049286642
vegas: 54.0, predictive mean 51.71936855448451, under percentage: 0.8287937743190662, over percentage: 0.17120622568093385
vegas: 50.0, predictive mean 51.48109209467326, under percentage: 0.27626459143968873, over percentage: 0.7237354085603113
vegas: 51.5, predictive mean 51.67041276416328, under percentage: 0.42412451361867703, over percentage: 0.5758754863813229
vegas: 51.5, predictive mean 51.57275101242182, under percentage: 0.5654993514915694, over percentage: 0.4345006485084306
vegas: 48.5, predictive mean 51.53140910056259, under percentage: 0.06744487678339818, over percentage: 0.9325551232166018
vegas: 52.5, predictive mean 51.60037056557552, under percentage: 0.6601815823605707, over percentage: 0.3398184176394293
vegas: 50.5, predictive mean 51.54937287656015, under percentage: 0.33722438391699094, over percentage: 0.6627756160830091
vegas: 54.0, predictive mean 51.4795172430393, under percentage: 0.9053177691309987, over percentage: 0.0946822308690013
vegas: 54.0, predictive mean 51.444242068253295, under percentage: 0.8430609597924773, over percentage: 0.1569390402075227
vegas: 51.5, predictive mean 51.475801337812996, under percentage: 0.5149156939040207, over percentage: 0.48508430609597925
vegas: 54.0, predictive mean 51.80034647611075, under percentage: 0.8210116731517509, over percentage: 0.17898832684824903
vegas: 51.0, predictive mean 51.674695459950826, under percentage: 0.3968871595330739, over percentage: 0.603112840466926
vegas: 53.5, predictive mean 51.519146148634356, under percentage: 0.8391699092088197, over percentage: 0.1608300907911803
vegas: 56.5, predictive mean 51.75109568096044, under percentage: 0.9688715953307393, over percentage: 0.0311284046692607
vegas: 50.5, predictive mean 51.66441551078965, under percentage: 0.2840466926070039, over percentage: 0.7159533073929961
vegas: 55.0, predictive mean 51.42185246686562, under percentage: 0.9105058365758755, over percentage: 0.08949416342412451
vegas: 54.5, predictive mean 51.47000291449186, under percentage: 0.914396887159533, over percentage: 0.08560311284046693
vegas: 55.5, predictive mean 51.53405934521964, under percentage: 0.9507133592736705, over percentage: 0.04928664072632944
vegas: 54.5, predictive mean 51.64974374097422, under percentage: 0.9169909208819714, over percentage: 0.08300907911802853
vegas: 51.5, predictive mean 51.68361667822052, under percentage: 0.5006485084306096, over percentage: 0.4993514915693904
vegas: 51.5, predictive mean 51.63392271604205, under percentage: 0.5343709468223087, over percentage: 0.4656290531776913
vegas: 53.0, predictive mean 51.611382459680506, under percentage: 0.7769130998702983, over percentage: 0.2230869001297017
vegas: 52.5, predictive mean 51.66043530807067, under percentage: 0.6718547341115434, over percentage: 0.32814526588845655
vegas: 51.5, predictive mean 51.61830025108758, under percentage: 0.4669260700389105, over percentage: 0.5330739299610895
vegas: 52.5, predictive mean 51.44628611545557, under percentage: 0.7159533073929961, over percentage: 0.2840466926070039
vegas: 52.5, predictive mean 51.535252276221335, under percentage: 0.6809338521400778, over percentage: 0.31906614785992216
vegas: 53.0, predictive mean 51.58654767071107, under percentage: 0.7237354085603113, over percentage: 0.27626459143968873
vegas: 52.0, predictive mean 51.82094383213932, under percentage: 0.543450064850843, over percentage: 0.4565499351491569
vegas: 50.5, predictive mean 51.6611313006845, under percentage: 0.3099870298313878, over percentage: 0.6900129701686122
vegas: 50.0, predictive mean 51.78817736612437, under percentage: 0.2127107652399481, over percentage: 0.7872892347600519
vegas: 54.0, predictive mean 51.653686613134354, under percentage: 0.8638132295719845, over percentage: 0.13618677042801555
vegas: 51.0, predictive mean 51.749355580410224, under percentage: 0.3424124513618677, over percentage: 0.6575875486381323
vegas: 50.5, predictive mean 51.543476304111024, under percentage: 0.3670557717250324, over percentage: 0.6329442282749675
vegas: 52.5, predictive mean 51.630486421372446, under percentage: 0.6757457846952011, over percentage: 0.324254215304799
vegas: 55.5, predictive mean 51.545298862495876, under percentage: 0.9649805447470817, over percentage: 0.03501945525291829
vegas: 49.0, predictive mean 51.5671055127829, under percentage: 0.13748378728923477, over percentage: 0.8625162127107653
vegas: 51.0, predictive mean 51.49682678228095, under percentage: 0.3942931258106355, over percentage: 0.6057068741893644
vegas: 52.5, predictive mean 51.82340127118638, under percentage: 0.5888456549935149, over percentage: 0.41115434500648507
vegas: 56.0, predictive mean 51.56021810227087, under percentage: 0.9636835278858625, over percentage: 0.03631647211413749
vegas: 56.0, predictive mean 51.45609021109672, under percentage: 0.9701686121919585, over percentage: 0.029831387808041506
vegas: 53.0, predictive mean 51.73973376403793, under percentage: 0.767833981841764, over percentage: 0.23216601815823606
vegas: 51.5, predictive mean 51.63473423219251, under percentage: 0.4889753566796368, over percentage: 0.5110246433203631
