vegas: 45.0, predictive mean 53.65723613824386, under percentage: 0.15304798962386512, over percentage: 0.8469520103761349
vegas: 53.0, predictive mean 55.674709737575, under percentage: 0.3865110246433204, over percentage: 0.6134889753566797
vegas: 49.5, predictive mean 52.764600296732155, under percentage: 0.36835278858625164, over percentage: 0.6316472114137484
vegas: 51.5, predictive mean 54.14024168003647, under percentage: 0.39948119325551235, over percentage: 0.6005188067444877
vegas: 50.5, predictive mean 53.800060131641985, under percentage: 0.35019455252918286, over percentage: 0.6498054474708171
vegas: 52.0, predictive mean 52.787751696651064, under percentage: 0.4721141374837873, over percentage: 0.5278858625162127
vegas: 51.5, predictive mean 54.69717674033167, under percentage: 0.3631647211413748, over percentage: 0.6368352788586251
vegas: 59.5, predictive mean 52.53853045766573, under percentage: 0.7795071335927367, over percentage: 0.2204928664072633
vegas: 50.5, predictive mean 53.209506731910196, under percentage: 0.3942931258106355, over percentage: 0.6057068741893644
vegas: 47.5, predictive mean 55.86127611406432, under percentage: 0.21660181582360571, over percentage: 0.7833981841763943
vegas: 49.5, predictive mean 53.59008316001274, under percentage: 0.3333333333333333, over percentage: 0.6666666666666666
vegas: 54.5, predictive mean 54.53977636253748, under percentage: 0.496757457846952, over percentage: 0.503242542153048
vegas: 51.5, predictive mean 53.481594040368805, under percentage: 0.4059662775616083, over percentage: 0.5940337224383917
vegas: 49.5, predictive mean 51.998359777398655, under percentage: 0.4033722438391699, over percentage: 0.5966277561608301
vegas: 53.5, predictive mean 53.52723822967791, under percentage: 0.5058365758754864, over percentage: 0.49416342412451364
vegas: 49.5, predictive mean 52.0240482797321, under percentage: 0.383916990920882, over percentage: 0.6160830090791181
vegas: 57.0, predictive mean 53.96803685625312, under percentage: 0.622568093385214, over percentage: 0.377431906614786
vegas: 51.0, predictive mean 53.39607440524902, under percentage: 0.3981841763942931, over percentage: 0.6018158236057068
vegas: 53.0, predictive mean 53.44090857646888, under percentage: 0.4669260700389105, over percentage: 0.5330739299610895
vegas: 50.5, predictive mean 52.139055858747334, under percentage: 0.42023346303501946, over percentage: 0.5797665369649806
vegas: 51.5, predictive mean 52.96368590043825, under percentage: 0.4474708171206226, over percentage: 0.5525291828793775
vegas: 51.0, predictive mean 53.07403387701327, under percentage: 0.4345006485084306, over percentage: 0.5654993514915694
vegas: 57.0, predictive mean 53.3571620591605, under percentage: 0.6316472114137484, over percentage: 0.36835278858625164
vegas: 55.5, predictive mean 52.62206275898867, under percentage: 0.6005188067444877, over percentage: 0.39948119325551235
vegas: 52.0, predictive mean 53.24099096696874, under percentage: 0.4487678339818418, over percentage: 0.5512321660181583
vegas: 50.5, predictive mean 53.896339358580505, under percentage: 0.3631647211413748, over percentage: 0.6368352788586251
vegas: 55.5, predictive mean 53.95656866858998, under percentage: 0.5667963683527886, over percentage: 0.43320363164721143
vegas: 48.5, predictive mean 53.33998576065797, under percentage: 0.2918287937743191, over percentage: 0.708171206225681
vegas: 50.5, predictive mean 54.539071431217074, under percentage: 0.35149156939040205, over percentage: 0.648508430609598
vegas: 47.5, predictive mean 53.45133287919073, under percentage: 0.26329442282749677, over percentage: 0.7367055771725033
vegas: 57.0, predictive mean 53.930274068256175, under percentage: 0.6277561608300908, over percentage: 0.3722438391699092
vegas: 49.0, predictive mean 52.076315252470046, under percentage: 0.3787289234760052, over percentage: 0.6212710765239948
vegas: 53.5, predictive mean 54.34883271757163, under percentage: 0.48119325551232167, over percentage: 0.5188067444876784
vegas: 52.0, predictive mean 53.97793916426001, under percentage: 0.4254215304798962, over percentage: 0.5745784695201037
vegas: 52.5, predictive mean 53.25225848972883, under percentage: 0.4785992217898833, over percentage: 0.5214007782101168
vegas: 50.5, predictive mean 51.88888310756035, under percentage: 0.41893644617380027, over percentage: 0.5810635538261998
vegas: 52.5, predictive mean 53.33077234938551, under percentage: 0.46433203631647213, over percentage: 0.5356679636835279
vegas: 49.0, predictive mean 54.2152539665526, under percentage: 0.30739299610894943, over percentage: 0.6926070038910506
vegas: 57.0, predictive mean 53.30081671607979, under percentage: 0.6731517509727627, over percentage: 0.32684824902723736
vegas: 52.0, predictive mean 55.333361326459574, under percentage: 0.35667963683527887, over percentage: 0.6433203631647212
vegas: 50.0, predictive mean 53.90530760262605, under percentage: 0.3398184176394293, over percentage: 0.6601815823605707
vegas: 49.5, predictive mean 53.72552681549511, under percentage: 0.3229571984435798, over percentage: 0.6770428015564203
vegas: 54.0, predictive mean 53.12853052652156, under percentage: 0.5642023346303502, over percentage: 0.4357976653696498
vegas: 52.0, predictive mean 54.47993444747913, under percentage: 0.39169909208819714, over percentage: 0.6083009079118028
vegas: 47.5, predictive mean 53.45019679241926, under percentage: 0.251621271076524, over percentage: 0.748378728923476
vegas: 55.5, predictive mean 55.126428530633994, under percentage: 0.5175097276264592, over percentage: 0.48249027237354086
vegas: 50.5, predictive mean 53.533594069479065, under percentage: 0.3540856031128405, over percentage: 0.6459143968871596
vegas: 51.0, predictive mean 55.05790632911664, under percentage: 0.34889753566796367, over percentage: 0.6511024643320363
vegas: 50.5, predictive mean 54.93275838933785, under percentage: 0.34889753566796367, over percentage: 0.6511024643320363
vegas: 50.0, predictive mean 55.01733790491588, under percentage: 0.2814526588845655, over percentage: 0.7185473411154345
vegas: 53.5, predictive mean 54.98724387059784, under percentage: 0.4383916990920882, over percentage: 0.5616083009079118
vegas: 51.5, predictive mean 52.04517212169366, under percentage: 0.5045395590142672, over percentage: 0.49546044098573283
vegas: 53.5, predictive mean 53.487931991076785, under percentage: 0.5175097276264592, over percentage: 0.48249027237354086
vegas: 48.0, predictive mean 52.54923626366065, under percentage: 0.3229571984435798, over percentage: 0.6770428015564203
vegas: 57.5, predictive mean 52.29809320057791, under percentage: 0.7263294422827496, over percentage: 0.27367055771725035
vegas: 52.5, predictive mean 53.82191312714551, under percentage: 0.4578469520103761, over percentage: 0.5421530479896238
vegas: 52.0, predictive mean 53.56369881759037, under percentage: 0.43320363164721143, over percentage: 0.5667963683527886
vegas: 52.0, predictive mean 52.2094751050856, under percentage: 0.5019455252918288, over percentage: 0.4980544747081712
vegas: 56.0, predictive mean 55.006526088099484, under percentage: 0.5473411154345007, over percentage: 0.45265888456549935
vegas: 56.5, predictive mean 53.1437094769898, under percentage: 0.6342412451361867, over percentage: 0.3657587548638132
vegas: 51.0, predictive mean 53.80885577291508, under percentage: 0.39169909208819714, over percentage: 0.6083009079118028
vegas: 51.5, predictive mean 52.636063053581, under percentage: 0.4604409857328145, over percentage: 0.5395590142671854
vegas: 51.5, predictive mean 52.16362427885672, under percentage: 0.47341115434500647, over percentage: 0.5265888456549935
vegas: 49.5, predictive mean 52.557001492872054, under percentage: 0.3748378728923476, over percentage: 0.6251621271076524
vegas: 53.0, predictive mean 52.196283342588266, under percentage: 0.5317769130998703, over percentage: 0.4682230869001297
vegas: 54.0, predictive mean 53.41226234768388, under percentage: 0.5408560311284046, over percentage: 0.4591439688715953
vegas: 50.0, predictive mean 55.25180489320777, under percentage: 0.3022049286640726, over percentage: 0.6977950713359273
vegas: 51.5, predictive mean 53.46175242300121, under percentage: 0.4163424124513619, over percentage: 0.5836575875486382
vegas: 51.5, predictive mean 53.76023071700997, under percentage: 0.4383916990920882, over percentage: 0.5616083009079118
vegas: 48.5, predictive mean 54.58699663843889, under percentage: 0.25810635538262, over percentage: 0.74189364461738
vegas: 52.5, predictive mean 53.25578703214435, under percentage: 0.4773022049286641, over percentage: 0.522697795071336
vegas: 50.5, predictive mean 55.00208787885272, under percentage: 0.32684824902723736, over percentage: 0.6731517509727627
vegas: 54.0, predictive mean 53.76097442200208, under percentage: 0.5019455252918288, over percentage: 0.4980544747081712
vegas: 54.0, predictive mean 54.01102556679087, under percentage: 0.5136186770428015, over percentage: 0.48638132295719844
vegas: 51.5, predictive mean 53.0835791813468, under percentage: 0.44228274967574577, over percentage: 0.5577172503242542
vegas: 54.0, predictive mean 53.907399741095816, under percentage: 0.5097276264591439, over percentage: 0.490272373540856
vegas: 51.0, predictive mean 52.14539844591139, under percentage: 0.47341115434500647, over percentage: 0.5265888456549935
vegas: 53.5, predictive mean 53.81192030221232, under percentage: 0.4876783398184176, over percentage: 0.5123216601815823
vegas: 56.5, predictive mean 52.802341050573894, under percentage: 0.6549935149156939, over percentage: 0.3450064850843061
vegas: 50.5, predictive mean 53.40773616594509, under percentage: 0.3942931258106355, over percentage: 0.6057068741893644
vegas: 55.0, predictive mean 54.94183360447987, under percentage: 0.4980544747081712, over percentage: 0.5019455252918288
vegas: 54.5, predictive mean 55.88818111813042, under percentage: 0.45136186770428016, over percentage: 0.5486381322957199
vegas: 55.5, predictive mean 53.68120680110541, under percentage: 0.5667963683527886, over percentage: 0.43320363164721143
vegas: 54.5, predictive mean 52.619966280007425, under percentage: 0.5836575875486382, over percentage: 0.4163424124513619
vegas: 51.5, predictive mean 51.80717822416105, under percentage: 0.4915693904020752, over percentage: 0.5084306095979247
vegas: 51.5, predictive mean 53.084851858870046, under percentage: 0.43320363164721143, over percentage: 0.5667963683527886
vegas: 53.0, predictive mean 53.504236875748084, under percentage: 0.4773022049286641, over percentage: 0.522697795071336
vegas: 52.5, predictive mean 52.16044257109338, under percentage: 0.5304798962386511, over percentage: 0.4695201037613489
vegas: 51.5, predictive mean 52.79600702799315, under percentage: 0.4695201037613489, over percentage: 0.5304798962386511
vegas: 52.5, predictive mean 54.78313289682047, under percentage: 0.3981841763942931, over percentage: 0.6018158236057068
vegas: 52.5, predictive mean 54.466432523165324, under percentage: 0.4150453955901427, over percentage: 0.5849546044098574
vegas: 53.0, predictive mean 52.11490003792134, under percentage: 0.5447470817120622, over percentage: 0.45525291828793774
vegas: 52.0, predictive mean 54.42953485092788, under percentage: 0.4085603112840467, over percentage: 0.5914396887159533
vegas: 50.5, predictive mean 53.899508225955756, under percentage: 0.3735408560311284, over percentage: 0.6264591439688716
vegas: 50.0, predictive mean 54.34235730404873, under percentage: 0.324254215304799, over percentage: 0.6757457846952011
vegas: 54.0, predictive mean 51.01964479499798, under percentage: 0.6251621271076524, over percentage: 0.3748378728923476
vegas: 51.0, predictive mean 55.029988410048645, under percentage: 0.3229571984435798, over percentage: 0.6770428015564203
vegas: 50.5, predictive mean 54.97789535501952, under percentage: 0.3229571984435798, over percentage: 0.6770428015564203
vegas: 52.5, predictive mean 53.562107874492085, under percentage: 0.45525291828793774, over percentage: 0.5447470817120622
vegas: 55.5, predictive mean 53.45630246872923, under percentage: 0.5810635538261998, over percentage: 0.41893644617380027
vegas: 49.0, predictive mean 54.90744617628745, under percentage: 0.2827496757457847, over percentage: 0.7172503242542153
vegas: 51.0, predictive mean 53.593977272875584, under percentage: 0.39299610894941633, over percentage: 0.6070038910505836
vegas: 52.5, predictive mean 54.90875632482942, under percentage: 0.40077821011673154, over percentage: 0.5992217898832685
vegas: 56.0, predictive mean 54.64357441653619, under percentage: 0.5719844357976653, over percentage: 0.4280155642023346
vegas: 56.0, predictive mean 52.99625249428975, under percentage: 0.6303501945525292, over percentage: 0.36964980544747084
vegas: 53.0, predictive mean 53.65251720214668, under percentage: 0.4889753566796368, over percentage: 0.5110246433203631
vegas: 51.5, predictive mean 53.076234298085744, under percentage: 0.45006485084306097, over percentage: 0.5499351491569391
vegas: 51.0, predictive mean 53.197198273084666, under percentage: 0.4072632944228275, over percentage: 0.5927367055771725
vegas: 53.0, predictive mean 53.79361520692137, under percentage: 0.48249027237354086, over percentage: 0.5175097276264592
vegas: 49.0, predictive mean 54.21912942714931, under percentage: 0.26848249027237353, over percentage: 0.7315175097276264
vegas: 55.5, predictive mean 53.594038190856566, under percentage: 0.6018158236057068, over percentage: 0.3981841763942931
vegas: 52.5, predictive mean 53.02133467384184, under percentage: 0.4669260700389105, over percentage: 0.5330739299610895
vegas: 55.5, predictive mean 53.09641648775628, under percentage: 0.6005188067444877, over percentage: 0.39948119325551235
vegas: 56.5, predictive mean 53.57656611481732, under percentage: 0.6329442282749675, over percentage: 0.3670557717250324
vegas: 50.0, predictive mean 54.41329701105008, under percentage: 0.3164721141374838, over percentage: 0.6835278858625162
