vegas: 45.0, predictive mean 48.61703503148797, under percentage: 0.316, over percentage: 0.684
vegas: 53.0, predictive mean 52.2225202416384, under percentage: 0.546, over percentage: 0.454
vegas: 49.5, predictive mean 50.39058706393979, under percentage: 0.47, over percentage: 0.53
vegas: 51.5, predictive mean 52.89755156655039, under percentage: 0.424, over percentage: 0.576
vegas: 50.5, predictive mean 52.41736577550453, under percentage: 0.382, over percentage: 0.618
vegas: 52.0, predictive mean 54.053109611925244, under percentage: 0.398, over percentage: 0.602
vegas: 51.5, predictive mean 52.765815056071204, under percentage: 0.43, over percentage: 0.57
vegas: 59.5, predictive mean 56.439095338955475, under percentage: 0.656, over percentage: 0.344
vegas: 50.5, predictive mean 54.508633169782364, under percentage: 0.296, over percentage: 0.704
vegas: 47.5, predictive mean 49.37283583988567, under percentage: 0.418, over percentage: 0.582
vegas: 49.5, predictive mean 50.137661883538264, under percentage: 0.47, over percentage: 0.53
vegas: 54.5, predictive mean 54.80465466376751, under percentage: 0.484, over percentage: 0.516
vegas: 51.5, predictive mean 50.34668776704227, under percentage: 0.572, over percentage: 0.428
vegas: 49.5, predictive mean 50.072095897676085, under percentage: 0.484, over percentage: 0.516
vegas: 53.5, predictive mean 51.82992128354231, under percentage: 0.604, over percentage: 0.396
vegas: 49.5, predictive mean 51.34884180151464, under percentage: 0.388, over percentage: 0.612
vegas: 57.0, predictive mean 55.88089429016688, under percentage: 0.552, over percentage: 0.448
vegas: 51.0, predictive mean 52.95969779937498, under percentage: 0.4, over percentage: 0.6
vegas: 53.0, predictive mean 53.44693485230326, under percentage: 0.482, over percentage: 0.518
vegas: 50.5, predictive mean 53.48028941142913, under percentage: 0.338, over percentage: 0.662
vegas: 51.5, predictive mean 54.45519906805013, under percentage: 0.36, over percentage: 0.64
vegas: 51.0, predictive mean 51.53499450762187, under percentage: 0.48, over percentage: 0.52
vegas: 57.0, predictive mean 54.64426621140713, under percentage: 0.62, over percentage: 0.38
vegas: 55.5, predictive mean 55.18920823308031, under percentage: 0.516, over percentage: 0.484
vegas: 52.0, predictive mean 53.909880439126766, under percentage: 0.398, over percentage: 0.602
