vegas: 49.5, predictive mean 52.63616662655004, under percentage: 0.3463035019455253, over percentage: 0.6536964980544747
vegas: 49.5, predictive mean 51.54228729729615, under percentage: 0.4098573281452659, over percentage: 0.5901426718547341
vegas: 49.5, predictive mean 53.5051751118323, under percentage: 0.3359273670557717, over percentage: 0.6640726329442282
vegas: 48.0, predictive mean 52.506737408831924, under percentage: 0.2801556420233463, over percentage: 0.7198443579766537
vegas: 52.0, predictive mean 51.731337040013024, under percentage: 0.5369649805447471, over percentage: 0.46303501945525294
vegas: 52.0, predictive mean 52.141170741923624, under percentage: 0.5136186770428015, over percentage: 0.48638132295719844
vegas: 50.0, predictive mean 51.94821768625389, under percentage: 0.41374837872892345, over percentage: 0.5862516212710766
vegas: 51.5, predictive mean 52.461573253168474, under percentage: 0.4578469520103761, over percentage: 0.5421530479896238
vegas: 50.5, predictive mean 52.469786908848064, under percentage: 0.41115434500648507, over percentage: 0.5888456549935149
vegas: 48.0, predictive mean 52.950950354992145, under percentage: 0.2892347600518807, over percentage: 0.7107652399481194
vegas: 52.0, predictive mean 51.81626680724023, under percentage: 0.5214007782101168, over percentage: 0.4785992217898833
vegas: 48.5, predictive mean 52.57033357203691, under percentage: 0.32944228274967574, over percentage: 0.6705577172503242
vegas: 53.0, predictive mean 52.71937444520617, under percentage: 0.5278858625162127, over percentage: 0.4721141374837873
vegas: 52.0, predictive mean 51.81231289625231, under percentage: 0.51621271076524, over percentage: 0.48378728923476005
vegas: 50.0, predictive mean 52.045214868905084, under percentage: 0.4163424124513619, over percentage: 0.5836575875486382
vegas: 53.0, predictive mean 52.12787342766427, under percentage: 0.5512321660181583, over percentage: 0.4487678339818418
vegas: 50.5, predictive mean 51.38232072490937, under percentage: 0.47341115434500647, over percentage: 0.5265888456549935
vegas: 52.5, predictive mean 53.22935939110096, under percentage: 0.4591439688715953, over percentage: 0.5408560311284046
vegas: 55.5, predictive mean 52.67777883007376, under percentage: 0.6446173800259404, over percentage: 0.3553826199740597
vegas: 50.5, predictive mean 52.910209395042926, under percentage: 0.3761348897535668, over percentage: 0.6238651102464332
vegas: 54.5, predictive mean 52.05299881169461, under percentage: 0.6160830090791181, over percentage: 0.383916990920882
vegas: 53.5, predictive mean 52.207055959821275, under percentage: 0.582360570687419, over percentage: 0.4176394293125811
vegas: 55.0, predictive mean 52.41742315849478, under percentage: 0.6070038910505836, over percentage: 0.39299610894941633
vegas: 53.0, predictive mean 52.06259990807223, under percentage: 0.5304798962386511, over percentage: 0.4695201037613489
vegas: 51.0, predictive mean 52.27792757422422, under percentage: 0.4669260700389105, over percentage: 0.5330739299610895
vegas: 51.5, predictive mean 52.363268916445165, under percentage: 0.4682230869001297, over percentage: 0.5317769130998703
vegas: 51.0, predictive mean 51.98013024839669, under percentage: 0.48378728923476005, over percentage: 0.51621271076524
vegas: 52.0, predictive mean 52.87071500719056, under percentage: 0.4578469520103761, over percentage: 0.5421530479896238
vegas: 50.0, predictive mean 51.39153437495246, under percentage: 0.45136186770428016, over percentage: 0.5486381322957199
vegas: 51.5, predictive mean 51.57009779169616, under percentage: 0.5006485084306096, over percentage: 0.4993514915693904
vegas: 51.5, predictive mean 51.37297455709244, under percentage: 0.5214007782101168, over percentage: 0.4785992217898833
vegas: 51.0, predictive mean 52.87681279127767, under percentage: 0.4176394293125811, over percentage: 0.582360570687419
vegas: 51.5, predictive mean 52.37401651232551, under percentage: 0.47341115434500647, over percentage: 0.5265888456549935
vegas: 49.5, predictive mean 52.529740688411565, under percentage: 0.36186770428015563, over percentage: 0.6381322957198443
vegas: 49.5, predictive mean 52.09504233227358, under percentage: 0.3955901426718547, over percentage: 0.6044098573281452
vegas: 53.0, predictive mean 51.51255495871158, under percentage: 0.5719844357976653, over percentage: 0.4280155642023346
vegas: 50.0, predictive mean 51.8806097515399, under percentage: 0.42412451361867703, over percentage: 0.5758754863813229
