vegas: 45.5, predictive mean 47.30836582803009, under percentage: 0.42, over percentage: 0.58
vegas: 50.5, predictive mean 49.6223310896194, under percentage: 0.554, over percentage: 0.446
vegas: 48.0, predictive mean 49.09784676049306, under percentage: 0.484, over percentage: 0.516
vegas: 50.5, predictive mean 52.54221125210143, under percentage: 0.406, over percentage: 0.594
vegas: 49.5, predictive mean 51.356922006017165, under percentage: 0.43, over percentage: 0.57
vegas: 50.5, predictive mean 53.9610452089165, under percentage: 0.346, over percentage: 0.654
vegas: 49.0, predictive mean 48.96179326344924, under percentage: 0.508, over percentage: 0.492
vegas: 58.5, predictive mean 54.5536503246383, under percentage: 0.668, over percentage: 0.332
vegas: 51.0, predictive mean 52.188529870529415, under percentage: 0.442, over percentage: 0.558
vegas: 47.5, predictive mean 48.789130211086814, under percentage: 0.426, over percentage: 0.574
vegas: 48.0, predictive mean 50.97465018181392, under percentage: 0.366, over percentage: 0.634
vegas: 54.0, predictive mean 52.77174521500729, under percentage: 0.544, over percentage: 0.456
vegas: 49.5, predictive mean 50.68069759174333, under percentage: 0.442, over percentage: 0.558
vegas: 49.0, predictive mean 50.859715188980346, under percentage: 0.428, over percentage: 0.572
vegas: 52.5, predictive mean 53.56450557816359, under percentage: 0.434, over percentage: 0.566
vegas: 49.0, predictive mean 52.97616323920446, under percentage: 0.328, over percentage: 0.672
vegas: 55.0, predictive mean 55.09273427062504, under percentage: 0.498, over percentage: 0.502
vegas: 50.5, predictive mean 52.36661608074901, under percentage: 0.396, over percentage: 0.604
vegas: 51.5, predictive mean 52.4204635609183, under percentage: 0.432, over percentage: 0.568
vegas: 50.0, predictive mean 52.72423341194024, under percentage: 0.364, over percentage: 0.636
vegas: 51.0, predictive mean 53.34358189560751, under percentage: 0.394, over percentage: 0.606
vegas: 50.0, predictive mean 50.81902085195924, under percentage: 0.496, over percentage: 0.504
vegas: 55.0, predictive mean 51.65923427850853, under percentage: 0.678, over percentage: 0.322
vegas: 54.0, predictive mean 52.74857260667039, under percentage: 0.584, over percentage: 0.416
vegas: 51.0, predictive mean 53.998422841248654, under percentage: 0.392, over percentage: 0.608
vegas: 49.0, predictive mean 50.182003483991636, under percentage: 0.444, over percentage: 0.556
vegas: 54.5, predictive mean 54.20526288661184, under percentage: 0.502, over percentage: 0.498
vegas: 48.0, predictive mean 51.06864232510781, under percentage: 0.376, over percentage: 0.624
vegas: 49.5, predictive mean 53.38035254783817, under percentage: 0.316, over percentage: 0.684
