vegas: 50.0, predictive mean 51.864739517137245, under percentage: 0.402, over percentage: 0.598
vegas: 52.0, predictive mean 49.83663692791661, under percentage: 0.586, over percentage: 0.414
vegas: 47.0, predictive mean 46.276466634199224, under percentage: 0.536, over percentage: 0.464
vegas: 51.5, predictive mean 51.10071624291453, under percentage: 0.544, over percentage: 0.456
vegas: 51.0, predictive mean 50.809786891873664, under percentage: 0.514, over percentage: 0.486
vegas: 49.5, predictive mean 49.50141319403181, under percentage: 0.498, over percentage: 0.502
vegas: 53.0, predictive mean 52.022687050881075, under percentage: 0.542, over percentage: 0.458
vegas: 50.0, predictive mean 51.56938472649507, under percentage: 0.43, over percentage: 0.57
vegas: 53.0, predictive mean 52.291409635821374, under percentage: 0.536, over percentage: 0.464
vegas: 48.5, predictive mean 49.95801463795623, under percentage: 0.424, over percentage: 0.576
vegas: 45.0, predictive mean 45.42054979742851, under percentage: 0.48, over percentage: 0.52
vegas: 50.0, predictive mean 50.30104600697006, under percentage: 0.47, over percentage: 0.53
vegas: 47.0, predictive mean 47.46083813632138, under percentage: 0.454, over percentage: 0.546
vegas: 50.0, predictive mean 50.92400038696493, under percentage: 0.452, over percentage: 0.548
vegas: 49.5, predictive mean 48.79700002168477, under percentage: 0.536, over percentage: 0.464
vegas: 50.0, predictive mean 48.12137009613616, under percentage: 0.602, over percentage: 0.398
vegas: 54.0, predictive mean 52.22448962998477, under percentage: 0.564, over percentage: 0.436
vegas: 49.0, predictive mean 51.049497334603586, under percentage: 0.396, over percentage: 0.604
vegas: 49.5, predictive mean 49.73709549161659, under percentage: 0.468, over percentage: 0.532
vegas: 49.0, predictive mean 51.37254323053507, under percentage: 0.372, over percentage: 0.628
vegas: 50.0, predictive mean 52.14541955857217, under percentage: 0.404, over percentage: 0.596
vegas: 52.0, predictive mean 52.44691481612962, under percentage: 0.47, over percentage: 0.53
vegas: 47.0, predictive mean 49.79168900126927, under percentage: 0.38, over percentage: 0.62
vegas: 50.5, predictive mean 49.02790437805355, under percentage: 0.57, over percentage: 0.43
vegas: 51.5, predictive mean 49.87232287109994, under percentage: 0.566, over percentage: 0.434
vegas: 47.0, predictive mean 50.43220880127, under percentage: 0.364, over percentage: 0.636
vegas: 51.0, predictive mean 52.04005541140708, under percentage: 0.454, over percentage: 0.546
vegas: 48.0, predictive mean 50.51329215783655, under percentage: 0.382, over percentage: 0.618
vegas: 48.0, predictive mean 51.02136249415317, under percentage: 0.368, over percentage: 0.632
vegas: 54.5, predictive mean 53.703783442718525, under percentage: 0.524, over percentage: 0.476
vegas: 51.0, predictive mean 50.68279939262894, under percentage: 0.506, over percentage: 0.494
vegas: 49.5, predictive mean 49.309703429972565, under percentage: 0.498, over percentage: 0.502
vegas: 49.0, predictive mean 49.31709562827238, under percentage: 0.496, over percentage: 0.504
vegas: 47.0, predictive mean 48.28492926988808, under percentage: 0.478, over percentage: 0.522
vegas: 50.0, predictive mean 49.69442214216563, under percentage: 0.514, over percentage: 0.486
vegas: 49.0, predictive mean 49.192627143898356, under percentage: 0.498, over percentage: 0.502
vegas: 50.0, predictive mean 49.55144747403428, under percentage: 0.51, over percentage: 0.49
vegas: 51.5, predictive mean 50.49461604527641, under percentage: 0.536, over percentage: 0.464
vegas: 44.5, predictive mean 49.64050012897927, under percentage: 0.242, over percentage: 0.758
vegas: 49.0, predictive mean 49.51280496547031, under percentage: 0.476, over percentage: 0.524
vegas: 48.5, predictive mean 49.08345032622885, under percentage: 0.486, over percentage: 0.514
vegas: 48.0, predictive mean 52.577061234495574, under percentage: 0.298, over percentage: 0.702
vegas: 54.0, predictive mean 51.83521351690857, under percentage: 0.578, over percentage: 0.422
vegas: 48.0, predictive mean 52.145350817339846, under percentage: 0.31, over percentage: 0.69
vegas: 49.0, predictive mean 48.938199754370814, under percentage: 0.5, over percentage: 0.5
vegas: 46.0, predictive mean 46.78747054768803, under percentage: 0.456, over percentage: 0.544
vegas: 50.0, predictive mean 49.94886807286898, under percentage: 0.532, over percentage: 0.468
vegas: 47.0, predictive mean 46.12834371215853, under percentage: 0.534, over percentage: 0.466
vegas: 50.5, predictive mean 53.014086329250965, under percentage: 0.378, over percentage: 0.622
