vegas: 51.0, predictive mean 53.87049675617735, under percentage: 0.3657587548638132, over percentage: 0.6342412451361867
vegas: 51.5, predictive mean 53.18585239759474, under percentage: 0.4267185473411154, over percentage: 0.5732814526588845
vegas: 51.5, predictive mean 53.44337967562471, under percentage: 0.4059662775616083, over percentage: 0.5940337224383917
vegas: 49.5, predictive mean 53.442335878607636, under percentage: 0.3527885862516213, over percentage: 0.6472114137483788
vegas: 53.0, predictive mean 53.215360218799134, under percentage: 0.5110246433203631, over percentage: 0.4889753566796368
vegas: 54.0, predictive mean 54.9036817760371, under percentage: 0.45395590142671854, over percentage: 0.5460440985732814
vegas: 50.0, predictive mean 52.877326618803224, under percentage: 0.3657587548638132, over percentage: 0.6342412451361867
vegas: 51.5, predictive mean 52.63566972453359, under percentage: 0.4293125810635538, over percentage: 0.5706874189364461
vegas: 51.5, predictive mean 53.380822003401626, under percentage: 0.4461738002594034, over percentage: 0.5538261997405967
vegas: 48.5, predictive mean 54.10841761849448, under percentage: 0.2710765239948119, over percentage: 0.728923476005188
vegas: 52.5, predictive mean 52.529500578337654, under percentage: 0.5045395590142672, over percentage: 0.49546044098573283
vegas: 50.5, predictive mean 52.72121698984834, under percentage: 0.40077821011673154, over percentage: 0.5992217898832685
vegas: 54.0, predictive mean 55.53456067335478, under percentage: 0.45265888456549935, over percentage: 0.5473411154345007
vegas: 54.0, predictive mean 52.366540348113496, under percentage: 0.562905317769131, over percentage: 0.437094682230869
vegas: 51.5, predictive mean 54.50243967695254, under percentage: 0.38261997405966275, over percentage: 0.6173800259403373
vegas: 54.0, predictive mean 53.95491762734266, under percentage: 0.49286640726329445, over percentage: 0.5071335927367056
vegas: 51.0, predictive mean 55.17188630078951, under percentage: 0.33852140077821014, over percentage: 0.6614785992217899
vegas: 53.5, predictive mean 53.88148597004122, under percentage: 0.5019455252918288, over percentage: 0.4980544747081712
vegas: 56.5, predictive mean 53.412339861304595, under percentage: 0.6251621271076524, over percentage: 0.3748378728923476
vegas: 50.5, predictive mean 54.947860859089225, under percentage: 0.311284046692607, over percentage: 0.688715953307393
vegas: 55.0, predictive mean 52.95173178940888, under percentage: 0.5784695201037614, over percentage: 0.42153047989623865
vegas: 54.5, predictive mean 53.56353952001672, under percentage: 0.5590142671854734, over percentage: 0.4409857328145266
vegas: 55.5, predictive mean 55.27038620118438, under percentage: 0.5084306095979247, over percentage: 0.4915693904020752
vegas: 54.5, predictive mean 54.39639023013187, under percentage: 0.5071335927367056, over percentage: 0.49286640726329445
vegas: 51.5, predictive mean 53.110130984277816, under percentage: 0.42153047989623865, over percentage: 0.5784695201037614
vegas: 51.5, predictive mean 51.96547724625604, under percentage: 0.4915693904020752, over percentage: 0.5084306095979247
vegas: 53.0, predictive mean 55.24955548288531, under percentage: 0.4357976653696498, over percentage: 0.5642023346303502
vegas: 52.5, predictive mean 54.00742286569754, under percentage: 0.4461738002594034, over percentage: 0.5538261997405967
vegas: 51.5, predictive mean 52.47792909371673, under percentage: 0.4591439688715953, over percentage: 0.5408560311284046
vegas: 52.5, predictive mean 54.322589553006985, under percentage: 0.4280155642023346, over percentage: 0.5719844357976653
vegas: 52.5, predictive mean 53.469809912638716, under percentage: 0.45136186770428016, over percentage: 0.5486381322957199
vegas: 53.0, predictive mean 54.347485382295226, under percentage: 0.4461738002594034, over percentage: 0.5538261997405967
vegas: 52.0, predictive mean 54.37423485100045, under percentage: 0.4150453955901427, over percentage: 0.5849546044098574
vegas: 50.5, predictive mean 55.45059250824435, under percentage: 0.3099870298313878, over percentage: 0.6900129701686122
vegas: 50.0, predictive mean 53.72527025168623, under percentage: 0.35797665369649806, over percentage: 0.642023346303502
vegas: 54.0, predictive mean 53.36862718018584, under percentage: 0.5252918287937743, over percentage: 0.47470817120622566
vegas: 51.0, predictive mean 53.20336772820622, under percentage: 0.40207522697795073, over percentage: 0.5979247730220493
