vegas: 52.0, predictive mean 51.33905099236475, under percentage: 0.516, over percentage: 0.484
vegas: 50.0, predictive mean 50.95709862379322, under percentage: 0.448, over percentage: 0.552
vegas: 47.0, predictive mean 49.32735452556217, under percentage: 0.382, over percentage: 0.618
vegas: 51.0, predictive mean 52.35595576984201, under percentage: 0.434, over percentage: 0.566
vegas: 49.0, predictive mean 50.02724911713097, under percentage: 0.472, over percentage: 0.528
vegas: 50.0, predictive mean 50.33554371041185, under percentage: 0.49, over percentage: 0.51
vegas: 47.5, predictive mean 51.70863034276692, under percentage: 0.292, over percentage: 0.708
vegas: 48.5, predictive mean 48.589005093731764, under percentage: 0.488, over percentage: 0.512
vegas: 49.0, predictive mean 51.30588737630933, under percentage: 0.406, over percentage: 0.594
vegas: 50.5, predictive mean 52.21470976254082, under percentage: 0.434, over percentage: 0.566
vegas: 52.5, predictive mean 52.93786478450604, under percentage: 0.49, over percentage: 0.51
vegas: 50.5, predictive mean 51.060899289268555, under percentage: 0.474, over percentage: 0.526
vegas: 48.5, predictive mean 48.75458349103099, under percentage: 0.478, over percentage: 0.522
vegas: 47.0, predictive mean 50.23857607028216, under percentage: 0.346, over percentage: 0.654
vegas: 49.0, predictive mean 50.599201353445515, under percentage: 0.42, over percentage: 0.58
vegas: 53.5, predictive mean 51.987759993824675, under percentage: 0.566, over percentage: 0.434
vegas: 50.0, predictive mean 51.59354182390733, under percentage: 0.404, over percentage: 0.596
vegas: 49.0, predictive mean 50.21817670890648, under percentage: 0.434, over percentage: 0.566
vegas: 51.0, predictive mean 52.33109234066781, under percentage: 0.414, over percentage: 0.586
vegas: 50.0, predictive mean 50.23030681613828, under percentage: 0.508, over percentage: 0.492
vegas: 51.5, predictive mean 51.645051411131114, under percentage: 0.506, over percentage: 0.494
vegas: 51.5, predictive mean 53.76468983766655, under percentage: 0.422, over percentage: 0.578
vegas: 46.0, predictive mean 50.81268208762997, under percentage: 0.27, over percentage: 0.73
vegas: 52.5, predictive mean 53.409854084197605, under percentage: 0.45, over percentage: 0.55
vegas: 49.5, predictive mean 51.15731465932107, under percentage: 0.408, over percentage: 0.592
vegas: 49.0, predictive mean 49.681625476296745, under percentage: 0.484, over percentage: 0.516
vegas: 53.5, predictive mean 54.54055575414363, under percentage: 0.464, over percentage: 0.536
vegas: 48.5, predictive mean 49.80600464566343, under percentage: 0.424, over percentage: 0.576
vegas: 49.0, predictive mean 51.7659342355234, under percentage: 0.35, over percentage: 0.65
vegas: 49.5, predictive mean 50.60053323494907, under percentage: 0.448, over percentage: 0.552
vegas: 50.5, predictive mean 51.286594513891544, under percentage: 0.466, over percentage: 0.534
vegas: 48.0, predictive mean 49.83331596438862, under percentage: 0.418, over percentage: 0.582
vegas: 50.5, predictive mean 50.950043749707454, under percentage: 0.496, over percentage: 0.504
vegas: 49.5, predictive mean 51.14449569333594, under percentage: 0.412, over percentage: 0.588
vegas: 49.5, predictive mean 50.6410193192048, under percentage: 0.452, over percentage: 0.548
vegas: 45.0, predictive mean 48.0317761915505, under percentage: 0.342, over percentage: 0.658
vegas: 46.5, predictive mean 49.43591631544605, under percentage: 0.398, over percentage: 0.602
vegas: 50.5, predictive mean 52.994224315685194, under percentage: 0.384, over percentage: 0.616
vegas: 49.5, predictive mean 49.215677441285685, under percentage: 0.522, over percentage: 0.478
vegas: 51.5, predictive mean 51.04158420202769, under percentage: 0.512, over percentage: 0.488
vegas: 50.5, predictive mean 50.3157289926974, under percentage: 0.502, over percentage: 0.498
vegas: 52.5, predictive mean 52.014859428219964, under percentage: 0.522, over percentage: 0.478
vegas: 54.0, predictive mean 54.42262881921052, under percentage: 0.464, over percentage: 0.536
vegas: 50.0, predictive mean 52.09800834790766, under percentage: 0.4, over percentage: 0.6
vegas: 50.5, predictive mean 51.32983786635684, under percentage: 0.438, over percentage: 0.562
vegas: 51.0, predictive mean 55.12651866231144, under percentage: 0.314, over percentage: 0.686
vegas: 47.5, predictive mean 50.78871799992772, under percentage: 0.346, over percentage: 0.654
vegas: 49.5, predictive mean 51.62694487353669, under percentage: 0.396, over percentage: 0.604
vegas: 48.5, predictive mean 50.30332385870426, under percentage: 0.418, over percentage: 0.582
vegas: 49.0, predictive mean 49.39629095456957, under percentage: 0.482, over percentage: 0.518
vegas: 48.5, predictive mean 49.16583651556949, under percentage: 0.46, over percentage: 0.54
vegas: 50.5, predictive mean 50.6599718651657, under percentage: 0.492, over percentage: 0.508
vegas: 53.0, predictive mean 53.15927178872794, under percentage: 0.5, over percentage: 0.5
vegas: 49.0, predictive mean 49.178938839835844, under percentage: 0.482, over percentage: 0.518
vegas: 49.0, predictive mean 48.95614403688407, under percentage: 0.5, over percentage: 0.5
vegas: 52.5, predictive mean 52.442464216904725, under percentage: 0.484, over percentage: 0.516
vegas: 49.0, predictive mean 51.324417162455745, under percentage: 0.39, over percentage: 0.61
vegas: 48.5, predictive mean 50.00393110677038, under percentage: 0.446, over percentage: 0.554
vegas: 50.5, predictive mean 51.425571562011584, under percentage: 0.45, over percentage: 0.55
vegas: 49.0, predictive mean 49.510392238212475, under percentage: 0.502, over percentage: 0.498
vegas: 52.5, predictive mean 53.038640728044335, under percentage: 0.482, over percentage: 0.518
vegas: 52.5, predictive mean 52.15211626925408, under percentage: 0.514, over percentage: 0.486
vegas: 49.0, predictive mean 50.654747699562954, under percentage: 0.388, over percentage: 0.612
vegas: 50.5, predictive mean 49.674799759789074, under percentage: 0.554, over percentage: 0.446
vegas: 47.0, predictive mean 48.744908103572726, under percentage: 0.408, over percentage: 0.592
vegas: 48.5, predictive mean 50.27425970014947, under percentage: 0.414, over percentage: 0.586
vegas: 48.5, predictive mean 49.411504912243004, under percentage: 0.45, over percentage: 0.55
vegas: 51.0, predictive mean 53.04834209390137, under percentage: 0.41, over percentage: 0.59
vegas: 50.5, predictive mean 50.84416214169232, under percentage: 0.474, over percentage: 0.526
vegas: 50.5, predictive mean 51.92217837099435, under percentage: 0.43, over percentage: 0.57
vegas: 47.0, predictive mean 49.147973772350475, under percentage: 0.376, over percentage: 0.624
vegas: 49.0, predictive mean 50.24758281017469, under percentage: 0.466, over percentage: 0.534
vegas: 50.0, predictive mean 51.2916058248757, under percentage: 0.442, over percentage: 0.558
vegas: 52.0, predictive mean 52.112856061762606, under percentage: 0.5, over percentage: 0.5
vegas: 50.5, predictive mean 51.662447650074895, under percentage: 0.458, over percentage: 0.542
vegas: 51.5, predictive mean 50.14349485329489, under percentage: 0.546, over percentage: 0.454
vegas: 53.5, predictive mean 52.406954728343266, under percentage: 0.568, over percentage: 0.432
vegas: 49.5, predictive mean 51.11440744773453, under percentage: 0.418, over percentage: 0.582
vegas: 47.5, predictive mean 49.82845426937302, under percentage: 0.392, over percentage: 0.608
vegas: 45.5, predictive mean 49.34965402856921, under percentage: 0.31, over percentage: 0.69
vegas: 49.5, predictive mean 50.23185984026186, under percentage: 0.472, over percentage: 0.528
vegas: 52.0, predictive mean 50.26997507023165, under percentage: 0.592, over percentage: 0.408
vegas: 51.5, predictive mean 51.45964873986714, under percentage: 0.5, over percentage: 0.5
vegas: 48.0, predictive mean 50.94555195038251, under percentage: 0.344, over percentage: 0.656
vegas: 49.0, predictive mean 48.76887380673732, under percentage: 0.512, over percentage: 0.488
vegas: 47.0, predictive mean 49.36771925446726, under percentage: 0.384, over percentage: 0.616
vegas: 52.5, predictive mean 51.463111298699836, under percentage: 0.548, over percentage: 0.452
vegas: 53.0, predictive mean 52.30040347268498, under percentage: 0.534, over percentage: 0.466
vegas: 54.5, predictive mean 52.86411978993455, under percentage: 0.568, over percentage: 0.432
vegas: 47.0, predictive mean 50.20350531132057, under percentage: 0.326, over percentage: 0.674
vegas: 49.0, predictive mean 51.49822670986656, under percentage: 0.396, over percentage: 0.604
vegas: 49.0, predictive mean 50.99262741669598, under percentage: 0.392, over percentage: 0.608
vegas: 44.0, predictive mean 47.355155129852854, under percentage: 0.328, over percentage: 0.672
vegas: 50.0, predictive mean 50.841623245347265, under percentage: 0.454, over percentage: 0.546
vegas: 48.5, predictive mean 49.315788025011244, under percentage: 0.45, over percentage: 0.55
