vegas: 51.0, predictive mean 52.588220417729296, under percentage: 0.4396887159533074, over percentage: 0.5603112840466926
vegas: 51.5, predictive mean 54.26238773594655, under percentage: 0.3942931258106355, over percentage: 0.6057068741893644
vegas: 51.5, predictive mean 53.13891753065506, under percentage: 0.4033722438391699, over percentage: 0.5966277561608301
vegas: 49.5, predictive mean 53.96154144484095, under percentage: 0.2710765239948119, over percentage: 0.728923476005188
vegas: 53.0, predictive mean 54.26487178356433, under percentage: 0.44357976653696496, over percentage: 0.556420233463035
vegas: 54.0, predictive mean 54.25725310549774, under percentage: 0.48119325551232167, over percentage: 0.5188067444876784
vegas: 50.0, predictive mean 53.86278448184611, under percentage: 0.33722438391699094, over percentage: 0.6627756160830091
vegas: 51.5, predictive mean 51.1488594621195, under percentage: 0.5175097276264592, over percentage: 0.48249027237354086
vegas: 51.5, predictive mean 53.441366058397115, under percentage: 0.4072632944228275, over percentage: 0.5927367055771725
vegas: 48.5, predictive mean 52.75741279668873, under percentage: 0.29701686121919585, over percentage: 0.7029831387808041
vegas: 52.5, predictive mean 52.738935548356004, under percentage: 0.49416342412451364, over percentage: 0.5058365758754864
vegas: 50.5, predictive mean 53.22173193864032, under percentage: 0.3748378728923476, over percentage: 0.6251621271076524
vegas: 54.0, predictive mean 54.43529665375843, under percentage: 0.49286640726329445, over percentage: 0.5071335927367056
vegas: 54.0, predictive mean 53.674612024592996, under percentage: 0.5188067444876784, over percentage: 0.48119325551232167
vegas: 51.5, predictive mean 52.2984630672388, under percentage: 0.45525291828793774, over percentage: 0.5447470817120622
vegas: 54.0, predictive mean 54.93907400143196, under percentage: 0.4773022049286641, over percentage: 0.522697795071336
vegas: 51.0, predictive mean 53.45955484275459, under percentage: 0.364461738002594, over percentage: 0.6355382619974059
vegas: 53.5, predictive mean 52.242843705135456, under percentage: 0.5577172503242542, over percentage: 0.44228274967574577
vegas: 56.5, predictive mean 53.44841261126126, under percentage: 0.6718547341115434, over percentage: 0.32814526588845655
vegas: 50.5, predictive mean 54.23811740427174, under percentage: 0.30479896238651105, over percentage: 0.695201037613489
vegas: 55.0, predictive mean 53.53166879505402, under percentage: 0.5771725032425421, over percentage: 0.42282749675745784
vegas: 54.5, predictive mean 52.4784204085297, under percentage: 0.6212710765239948, over percentage: 0.3787289234760052
vegas: 55.5, predictive mean 53.25788508014476, under percentage: 0.648508430609598, over percentage: 0.35149156939040205
vegas: 54.5, predictive mean 52.79424369398135, under percentage: 0.5810635538261998, over percentage: 0.41893644617380027
vegas: 51.5, predictive mean 52.81152846500075, under percentage: 0.44357976653696496, over percentage: 0.556420233463035
vegas: 51.5, predictive mean 53.88001017300657, under percentage: 0.3852140077821012, over percentage: 0.6147859922178989
vegas: 53.0, predictive mean 53.12852234712719, under percentage: 0.496757457846952, over percentage: 0.503242542153048
vegas: 52.5, predictive mean 53.71125669801424, under percentage: 0.43190661478599224, over percentage: 0.5680933852140078
vegas: 51.5, predictive mean 54.20519159904611, under percentage: 0.3748378728923476, over percentage: 0.6251621271076524
vegas: 52.5, predictive mean 53.69767394534835, under percentage: 0.4565499351491569, over percentage: 0.543450064850843
vegas: 52.5, predictive mean 53.582330540358434, under percentage: 0.46433203631647213, over percentage: 0.5356679636835279
vegas: 53.0, predictive mean 53.119897238663995, under percentage: 0.5201037613488976, over percentage: 0.4798962386511025
vegas: 52.0, predictive mean 54.91553209358888, under percentage: 0.3761348897535668, over percentage: 0.6238651102464332
vegas: 50.5, predictive mean 54.49741098663788, under percentage: 0.2918287937743191, over percentage: 0.708171206225681
vegas: 50.0, predictive mean 53.071591697984125, under percentage: 0.34889753566796367, over percentage: 0.6511024643320363
vegas: 54.0, predictive mean 52.49463578831558, under percentage: 0.5771725032425421, over percentage: 0.42282749675745784
vegas: 51.0, predictive mean 53.18615716167132, under percentage: 0.3761348897535668, over percentage: 0.6238651102464332
vegas: 50.5, predictive mean 53.55343861266649, under percentage: 0.39299610894941633, over percentage: 0.6070038910505836
vegas: 52.5, predictive mean 55.311476445349626, under percentage: 0.38002594033722437, over percentage: 0.6199740596627756
vegas: 55.5, predictive mean 53.6219206316056, under percentage: 0.6018158236057068, over percentage: 0.3981841763942931
